block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block06,balbusa,CVC,CV,ba,nonword,mismatch,bal,bal,critical,1.0
block06,soponso,CV,CV,ba,nonword,match,bal,sop,filler01,None
block06,zictencia,CVC,CV,ba,nonword,mismatch,bal,zic,filler02,None
block06,ruñansa,CV,CV,ba,nonword,match,bal,ruñ,filler03,None
block06,cuntefa,CVC,CV,ba,nonword,mismatch,bal,cun,filler04,None
block06,cicaigo,CV,CV,ba,nonword,match,bal,cic,filler05,None
block06,soreto,CV,CV,ba,nonword,match,bal,sor,filler06,None
block06,dosbiente,CVC,CV,ba,nonword,mismatch,bal,dos,filler07,None
block06,fontama,CVC,CV,ba,nonword,mismatch,bal,fon,filler08,None
block06,decibio,CV,CV,ba,nonword,match,bal,dec,filler09,None
