block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block12,linterna,CVC,CVC,lin,word,match,lin,lin,critical,1.0
block12,portillo,CVC,CVC,lin,word,match,lin,por,filler01,None
block12,sobaco,CV,CVC,lin,word,mismatch,lin,sob,filler02,None
block12,respuesta,CVC,CVC,lin,word,match,lin,res,filler03,None
block12,garbanzo,CVC,CVC,lin,word,match,lin,gar,filler04,None
block12,soborno,CV,CVC,lin,word,mismatch,lin,sob,filler05,None
block12,pozuelo,CV,CVC,lin,word,mismatch,lin,poz,filler06,None
block12,barcaza,CVC,CVC,lin,word,match,lin,bar,filler07,None
block12,sureste,CV,CVC,lin,word,mismatch,lin,sur,filler08,None
block12,torija,CV,CVC,lin,word,mismatch,lin,tor,filler09,None
